,RO_0,RO_1,RO_2,RO_3,RO_4,RO_5,RO_6,RO_7,RO_8,RO_9,RO_10,RO_11,RO_12,RO_13,RO_14,RO_15,RO_16,RO_17,RO_18,RO_19,Temperature,vccint,vbram,vccaux,time
0,2,474273,469586,467296,462360,459790,466916,416924,460401,460736,456323,419040,367545,367736,456134,456562,452021,373717,466275,419824,50.201147460937534,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:54:29.035468
1,2,474513,469981,467651,462893,460363,467208,417136,460814,461106,456781,419462,367915,367911,456437,457035,452236,374144,466663,420196,49.955065917968795,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:54:32.055837
2,2,474535,469958,467510,462883,460174,467155,417065,460886,461149,456826,419495,367963,368035,456618,457022,452247,374099,466729,420110,50.57026977539067,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:54:35.075790
3,2,474546,469874,467637,462844,460095,467242,417173,460844,461022,456820,419432,367918,368062,456598,456858,452248,374086,466717,420149,50.69331054687501,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:54:38.095860
4,2,474449,469955,467389,462791,460025,467013,416990,460744,460966,456776,419297,367823,367921,456538,456931,452281,373937,466496,420008,50.69331054687501,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:54:41.115772
5,2,474618,469934,467428,462887,460242,467192,417073,460834,461233,456890,419417,367889,368075,456526,456929,452254,374168,466637,420109,49.58594360351566,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:54:44.135886
6,2,474710,470115,467672,463056,460247,467270,417225,460887,461189,456926,419645,367941,368121,456594,457042,452339,374202,466817,420289,50.69331054687501,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:54:47.155599
7,2,474702,470110,467590,462780,460046,467305,417122,460816,461082,456881,419498,367953,368069,456460,457092,452261,374296,466713,420303,50.201147460937534,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:54:50.175206
8,2,474676,470090,467643,462909,460182,467156,416899,460762,461062,456854,419467,367943,368039,456486,457137,452336,374203,466624,420227,49.8320251464844,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:54:53.194973
9,2,474272,469609,467397,462223,459686,466847,416616,460373,460610,456491,418917,367450,367683,456206,456522,451932,373745,466252,419788,50.81635131835941,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:54:56.217851
10,2,474561,470138,467600,463080,460317,467345,417173,460899,461197,456915,419627,367927,368173,456659,457037,452521,374280,466729,420230,50.57026977539067,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:54:59.237493
11,2,474393,469795,467387,462484,459989,467065,416981,460504,460809,456669,419288,367608,367852,456248,456821,452155,374018,466449,420021,50.81635131835941,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:55:02.261375
12,2,474678,469957,467473,462867,460097,467181,417015,460765,461076,457012,419459,367886,367997,456578,456975,452409,374137,466647,420130,51.308514404296886,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:55:05.281292
13,2,474476,469886,467588,462641,460034,467209,416961,460772,461009,456878,419329,367817,367915,456544,456920,452236,374117,466691,420107,50.44722900390627,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:55:08.301189
14,2,474611,470021,467674,462778,460074,467070,417103,460681,461003,456886,419415,367969,368065,456478,457074,452263,374077,466687,420079,50.93939208984381,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:55:11.322147
15,2,474549,470042,467552,462987,460110,467243,417094,460740,461082,456982,419538,368042,368100,456578,457007,452354,374098,466777,420204,50.32418823242193,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:55:14.341799
16,2,474706,470023,467733,462794,460188,467354,417286,460928,461134,457067,419567,367952,368092,456798,457090,452375,374127,466805,420275,51.06243286132815,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:55:17.362107
17,2,474635,469957,467645,462899,460179,467220,416972,460738,461073,456863,419361,367811,367979,456475,457003,452334,374125,466684,420284,51.185473632812545,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:55:20.382085
18,2,474520,469975,467586,462979,460313,467184,416984,460779,460950,456860,419359,367800,367983,456514,456962,452253,374058,466547,420096,51.185473632812545,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:55:23.402088
19,2,474503,469959,467626,462645,459991,467201,417077,460790,460938,456884,419326,367751,367909,456346,456848,452303,374041,466556,420093,50.93939208984381,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:55:26.421760
20,2,474453,469869,467589,462724,459997,467131,417114,460687,461054,456788,419230,367711,367923,456375,456907,452309,373916,466520,420003,50.57026977539067,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:55:29.441905
21,2,474512,469930,467574,462708,460170,467134,416888,460643,461130,456837,419434,367768,367996,456564,456945,452365,373874,466619,419980,50.81635131835941,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:55:32.461898
22,2,474406,469990,467523,462785,460253,467328,417198,460849,461148,456837,419415,367900,368042,456430,457040,452350,374041,466642,420110,50.93939208984381,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:55:35.481872
23,2,474583,469864,467504,462721,460218,467190,417095,460826,460999,456830,419177,367738,368040,456342,457048,452360,374012,466585,420067,50.93939208984381,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:55:38.502044
24,2,474276,469614,467189,462129,459747,466880,416947,460527,460821,456469,418856,367484,367705,455981,456616,451995,373732,466189,419872,50.69331054687501,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:55:41.524981
25,2,474551,469930,467387,462798,460054,467144,417001,460693,460911,456760,419336,367782,368045,456236,456834,452272,374013,466538,420098,50.69331054687501,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:55:44.543760
26,2,474629,469857,467599,463031,460059,467254,417225,460733,461053,456876,419507,367777,368150,456349,456885,452355,374085,466645,420131,50.69331054687501,1.0224609375,1.0224609375,1.803955078125,2024-06-03 02:55:47.563447
